Country,ProvinceName,PostalCode,PostalArea
South Africa,Gauteng,0001,Pretoria
South Africa,Gauteng,0002,Pretoria
South Africa,Gauteng,0003,Pretoria
South Africa,Gauteng,0004,Pretoria
South Africa,Gauteng,0005,Pretoria
South Africa,Gauteng,0006,Pretoria
South Africa,Gauteng,0007,Pretoria
South Africa,Gauteng,0008,Atteridgeville
South Africa,Gauteng,0009,Pretoria
South Africa,Gauteng,0010,Glenstantia
South Africa,Gauteng,0011,Pretoria
South Africa,Gauteng,0012,Pretoria
South Africa,Gauteng,0014,Centurion
South Africa,Gauteng,0016,Pretoria
South Africa,Gauteng,0017,Doornpoort
South Africa,Gauteng,0018,Pretoria
South Africa,Gauteng,0019,Pretoria
South Africa,Gauteng,0020,Pretoria
South Africa,Gauteng,0021,Pretoria
South Africa,Gauteng,0022,Eersterus
South Africa,Gauteng,0023,Pretoria
South Africa,Gauteng,0024,Pretoria
South Africa,Gauteng,0025,Pretoria
South Africa,Gauteng,0026,Pretoria
South Africa,Gauteng,0027,Pretoria
South Africa,Gauteng,0028,Pretoria
South Africa,Gauteng,0029,Philip nel park
South Africa,Gauteng,0030,Pretoria
South Africa,Gauteng,0031,Pretoria
South Africa,Gauteng,0032,Pretoria
South Africa,Gauteng,0033,Pretoria
South Africa,Gauteng,0035,Derdepoortpark
South Africa,Gauteng,0036,Pretoria
South Africa,Gauteng,0037,Laudium
South Africa,Gauteng,0039,Pretoria
South Africa,Gauteng,0040,Menlo park
South Africa,Gauteng,0041,Pretoria
South Africa,Gauteng,0042,Garsfontein
South Africa,Gauteng,0043,Faerie glen
South Africa,Gauteng,0044,Moreletapark
South Africa,Gauteng,0045,Pretoria
South Africa,Gauteng,0046,Centurion
South Africa,Gauteng,0047,Pretoria
South Africa,Gauteng,0048,Pretoria
South Africa,Gauteng,0049,Pretoria
South Africa,Gauteng,0050,Pretoria
South Africa,Gauteng,0051,Centurion
South Africa,Gauteng,0052,Pretoria
South Africa,Gauteng,0053,Pretoria
South Africa,Gauteng,0054,Pretoria
South Africa,Gauteng,0055,Pretoria
South Africa,Gauteng,0056,Pretoria
South Africa,Gauteng,0057,Pretoria
South Africa,Gauteng,0058,Pretoria
South Africa,Gauteng,0059,Pretoria
South Africa,Gauteng,0060,Menlo park
South Africa,Gauteng,0061,Pretoria
South Africa,Gauteng,0062,Pretoria
South Africa,Gauteng,0063,Pretoria
South Africa,Gauteng,0064,Mahube valley
South Africa,Gauteng,0065,Pretoria
South Africa,Gauteng,0066,Pretoria north
South Africa,Gauteng,0067,Highveld park
South Africa,Gauteng,0068,Hercules
South Africa,Gauteng,0070,Pretoria west
South Africa,Gauteng,0071,Pretoria
South Africa,Gauteng,0072,Moreletapark
South Africa,Gauteng,0073,Pretoria
South Africa,Gauteng,0074,Pretoria
South Africa,Gauteng,0075,Brooklyn square
